"","ID","Sektor","Total","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"77",77,"Barang-Barang dari Besi dan Baja Dasar ",224.066946,0.154845,0,0.008184,0,0,0,0.357678,0.346239,200.79072,0,0,0.26784,22.14144,0,0,0
"78",78,"Seng ",108.7808883,0.07517475,0,0.0039732,0,0,0,0.1736469,0.16809345,97.480656,0,0,0.130032,10.749312,0,0,0
"79",79,"Barang-Barang dari Logam kecuali Mesin dan Peralatannya ",122.5140237,0.08466525,0,0.0044748,0,0,0,0.1955691,0.18931455,109.787184,0,0,0.146448,12.106368,0,0,0
"80",80,"Mesin dan Peralatan dan Perlengkapannya termasuk Alat Listrik dan Bahan-Bahan Keperluan Listrik ",28.7913979,0.01989675,0,0.0010516,0,0,0,0.0459597,0.04448985,25.800528,0,0,0.034416,2.845056,0,0,0
"81",81,"Alat Angkutan Laut ",85.4104649,0.05902425,0,0.0031196,0,0,0,0.1363407,0.13198035,76.537968,0,0,0.102096,8.439936,0,0,0
"82",82,"Alat Angkutan Darat ",0.4818644,0.000333,0,1.76e-05,0,0,0,0.0007692,0.0007446,0.431808,0,0,0.000576,0.047616,0,0,0
"83",83,"Alat Pengangkutan Lainnya ",1.9274576,0.001332,0,7.04e-05,0,0,0,0.0030768,0.0029784,1.727232,0,0,0.002304,0.190464,0,0,0
"84",84,"Barang-Barang Industri Lainnya ",248.0396999,0.17141175,0,0.0090596,0,0,0,0.3959457,0.38328285,222.273168,0,0,0.296496,24.510336,0,0,0
"85",85,"Listrik",959.0412271,376.8920395,0,99.11706862,109.0988002,0,0,0,0.142321262,0,0,0,0,58.69191992,0,255.8958603,59.20321732
"86",86,"Air Bersih ",620373.44,459.5747153,187.1421363,24.2898348,8831.511497,0,0,1061.576189,1027.625625,547660.0353,0,0,730.538064,60391.14662,0,0,0
"87",87,"Bangunan Tempat Tinggal dan Bukan Tempat Tinggal ",10807.01383,7.4683575,0,0.394724,0,0,0,17.251233,16.6995165,9684.37392,0,0,12.91824,1067.90784,0,0,0
"88",88,"Prasarana Pertanian ",213.9477936,0.147852,0,0.0078144,0,0,0,0.3415248,0.3306024,191.722752,0,0,0.255744,21.141504,0,0,0
