y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
155119.2466,162875.2089,171018.9693,179569.9178,188548.4137,197975.8344,207874.6261,218268.3574,229181.7753,240640.864,252672.9072,265306.5526,278571.8802,292500.4742,307125.4979,322481.7728,338605.8615,355536.1546,373312.9623,391978.6104,411577.5409,432156.418
71510.30711,75085.82246,78840.11358,82782.11926,86921.22523,91267.28649,95830.65081,100622.1834,105653.2925,110935.9571,116482.755,122306.8928,128422.2374,134843.3493,141585.5167,148664.7926,156098.0322,163902.9338,172098.0805,180702.9845,189738.1337,199225.0404
294334.6764,309051.4102,324503.9807,340729.1797,357765.6387,375653.9206,394436.6167,414158.4475,434866.3699,456609.6884,479440.1728,503412.1814,528582.7905,555011.93,582762.5265,611900.6529,642495.6855,674620.4698,708351.4933,743769.0679,780957.5213,820005.3974
1933.542265,2030.219379,2131.730347,2238.316865,2350.232708,2467.744344,2591.131561,2720.688139,2856.722546,2999.558673,3149.536607,3307.013437,3472.364109,3645.982314,3828.28143,4019.695501,4220.680276,4431.71429,4653.300005,4885.965005,5130.263255,5386.776418
14395.90967,15115.70515,15871.49041,16665.06493,17498.31817,18373.23408,19291.89579,20256.49057,21269.3151,22332.78086,23449.4199,24621.8909,25852.98544,27145.63471,28502.91645,29928.06227,31424.46538,32995.68865,34645.47309,36377.74674,38196.63408,40106.46578
44509.441,46734.91305,49071.6587,51525.24164,54101.50372,56806.57891,59646.90785,62629.25324,65760.71591,69048.7517,72501.18929,76126.24875,79932.56119,83929.18925,88125.64871,92531.93115,97158.5277,102016.4541,107117.2768,112473.1406,118096.7977,124001.6375
25719.60635,27005.58667,28355.866,29773.6593,31262.34226,32825.45938,34466.73235,36190.06896,37999.57241,39899.55103,41894.52858,43989.25501,46188.71776,48498.15365,50923.06134,53469.2144,56142.67512,58949.80888,61897.29932,64992.16429,68241.7725,71653.86113
156983.3784,164832.5473,173074.1747,181727.8834,190814.2776,200354.9914,210372.741,220891.3781,231935.947,243532.7443,255709.3815,268494.8506,281919.5931,296015.5728,310816.3514,326357.169,342675.0275,359808.7788,377799.2178,396689.1787,416523.6376,437349.8195
64538.81029,67765.7508,71154.03834,74711.74026,78447.32727,82369.69363,86488.17831,90812.58723,95353.21659,100120.8774,105126.9213,110383.2674,115902.4307,121697.5523,127782.4299,134171.5514,140880.1289,147924.1354,155320.3422,163086.3593,171240.6772,179802.7111
87650.26424,92032.77745,96634.41633,101466.1371,106539.444,111866.4162,117459.737,123332.7239,129499.3601,135974.3281,142773.0445,149911.6967,157407.2815,165277.6456,173541.5279,182218.6043,191329.5345,200896.0112,210940.8118,221487.8523,232562.245,244190.3572
46155.99984,48463.79983,50886.98982,53431.33931,56102.90627,58908.05159,61853.45417,64946.12688,68193.43322,71603.10488,75183.26013,78942.42313,82889.54429,87034.0215,91385.72258,95955.00871,100752.7591,105790.3971,111079.917,116633.9128,122465.6084,128588.8889
8614.56384,9045.292032,9497.556634,9972.434465,10471.05619,10994.609,11544.33945,12121.55642,12727.63424,13364.01595,14032.21675,14733.82759,15470.51897,16244.04492,17056.24716,17909.05952,18804.5125,19744.73812,20731.97503,21768.57378,22857.00247,23999.85259
773977.9234,812676.8195,853310.6605,895976.1936,940775.0032,987813.7534,1037204.441,1089064.663,1143517.896,1200693.791,1260728.481,1323764.905,1389953.15,1459450.807,1532423.348,1609044.515,1689496.741,1773971.578,1862670.157,1955803.665,2053593.848,2156273.54
1800216.073,1890226.877,1984738.221,2083975.132,2188173.889,2297582.583,2412461.712,2533084.798,2659739.038,2792725.99,2932362.289,3078980.403,3232929.424,3394575.895,3564304.69,3742519.924,3929645.92,4126128.216,4332434.627,4549056.358,4776509.176,5015334.635
870809.1963,914349.6561,960067.1389,1008070.496,1058474.021,1111397.722,1166967.608,1225315.988,1286581.788,1350910.877,1418456.421,1489379.242,1563848.204,1642040.614,1724142.645,1810349.777,1900867.266,1995910.629,2095706.161,2200491.469,2310516.042,2426041.844
809437.395,849909.2648,892404.728,937024.9644,983876.2126,1033070.023,1084723.524,1138959.701,1195907.686,1255703.07,1318488.223,1384412.635,1453633.266,1526314.93,1602630.676,1682762.21,1766900.32,1855245.336,1948007.603,2045407.983,2147678.383,2255062.302
